Geographic Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Sarasota County, Florida","379,930","382,226","386,437","389,941","396,363","404,761","412,968","419,680","426,329","433,742"
".Seminole County, Florida","423,051","426,334","430,537","435,503","441,399","448,318","455,945","462,801","468,122","471,826"
".Sumter County, Florida","94,278","97,975","101,669","106,898","112,236","117,076","122,009","124,995","128,719","132,420"
".Suwannee County, Florida","42,328","43,368","43,534","43,588","43,786","43,677","43,834","44,124","44,179","44,417"
".Taylor County, Florida","22,595","22,662","22,758","22,873","22,584","22,355","22,099","21,781","21,545","21,569"
".Union County, Florida","15,542","15,302","15,255","15,160","15,258","15,265","15,238","15,448","15,328","15,237"
".Volusia County, Florida","494,440","494,464","496,535","500,438","506,715","516,730","528,453","537,868","546,101","553,284"
".Wakulla County, Florida","30,825","30,973","30,859","31,004","31,416","31,523","31,882","32,050","32,413","33,739"
".Walton County, Florida","55,217","55,602","57,190","59,193","61,186","63,066","65,421","68,021","70,732","74,071"
".Washington County, Florida","24,720","24,510","24,741","24,504","24,299","24,552","24,454","24,546","24,793","25,473"
